id,response,response_nofill,response_processed,response_processed_phrase,item,item_nofill,SemDis_factor,SemDis_cbowukwacsubtitle_nf_m,SemDis_cbowsubtitle_nf_m,SemDis_cbowBNCwikiukwac_nf_m,SemDis_TASA_nf_m,SemDis_glove_nf_m,SemDis_MEAN,ewm_vector_cosine_dis,ewm_vector_cosine_dis_clus_avg,minima_vector_cosine_dis,minima_vector_cosine_dis_clus_avg,novelty_1,novelty_2,novelty_m
1159,wear on feet,wear feet,"['wear', 'foot']",wear foot,Shoe,shoe,0.1434,1.14806,1.11889,0.99901,1.05112,1.00992,1.0654,1.0783400208439833,1.036878609520938,0.7750785366912747,0.8141592468957504,1,1,1.0
1159,to put stuff in,put stuff,['stuff'],stuff,Shoe,shoe,0.09572,1.00684,0.99932,1.06153,0.88234,1.12912,1.01583,0.9102622492843603,0.9232684140184676,0.9102622492843603,0.9165161785965777,3,3,3.0
1159,to workout in,workout,['workout'],workout,Shoe,shoe,-0.11277,0.85628,0.8188,0.8336600000000001,0.96214,0.85576,0.86533,0.8187991517191819,0.9232684140184676,0.8187991517191819,0.8187991517191819,1,1,1.0
1159,to use as a bug killer,use bug killer,"['bug', 'killer']",bug killer,Shoe,shoe,0.00311,0.90506,0.98642,1.01619,0.9306,0.93217,0.95409,0.9903404865078242,1.0076544521183803,0.9357563179378904,1.0053475065206274,2,3,2.5
1159,to use as a decoration,use decoration,['decoration'],decoration,Shoe,shoe,0.07513,1.06171,0.92742,0.90422,1.07697,1.09134,1.01233,0.8762450682418322,0.8762450682418322,0.8762450682418322,0.9165161785965777,3,4,3.5
1104,putting on your feet,putting feet,"['putting', 'foot']",putting foot,Shoe,shoe,0.09987,1.13939,1.01785,0.91837,1.00091,1.0467,1.02464,0.9508027542150059,0.8377965978875742,0.9422517877299177,0.8141592468957504,1,1,1.0
1104,hitting a bug,hitting bug,"['hitting', 'bug']",hitting bug,Shoe,shoe,0.1222,1.1814,1.0367,0.9808,1.02583,1.00179,1.0453,1.0366970556319448,1.0076544521183803,0.9357563179378904,1.0053475065206274,2,3,2.5
1104,dog toy,dog toy,"['dog', 'toy']",dog toy,Shoe,shoe,0.07596,1.02058,0.97744,1.04055,1.02751,1.0072,1.01466,0.9774405761740552,0.9011080383713477,0.857154206718961,0.869815816851973,3,3,3.0
1093,killing a bug,killing bug,"['killing', 'bug']",killing bug,Shoe,shoe,0.10531,1.11177,0.98996,1.01648,0.98766,1.0458,1.03033,0.9899592015287018,1.0076544521183803,0.9923042512230864,1.0053475065206274,2,3,2.5
1093,wearing on a foot,wearing foot,"['wearing', 'foot']",wearing foot,Shoe,shoe,0.09486,1.12419,1.07073,0.96751,0.96209,0.97832,1.02057,1.0707275831821013,0.9206819632367381,0.8334652049765312,0.8141592468957504,1,1,1.0
